resume_id,Category,role_bucket,skill
83816738,INFORMATION-TECHNOLOGY,Software Engineering,JavaScript
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Jenkins
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Linux
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Microservices
83816738,INFORMATION-TECHNOLOGY,Software Engineering,MongoDB
83816738,INFORMATION-TECHNOLOGY,Software Engineering,MySQL
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
83816738,INFORMATION-TECHNOLOGY,Software Engineering,PHP
83816738,INFORMATION-TECHNOLOGY,Software Engineering,PostgreSQL
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
83816738,INFORMATION-TECHNOLOGY,Software Engineering,SQL
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Scrum
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Selenium
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Spring
83816738,INFORMATION-TECHNOLOGY,Software Engineering,Spring Boot
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,AWS
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,Communication
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,Linux
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,Oracle
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,Python
20824105,INFORMATION-TECHNOLOGY,DevOps & Cloud,Spring
33381211,INFORMATION-TECHNOLOGY,Software Engineering,AWS
33381211,INFORMATION-TECHNOLOGY,Software Engineering,Agile
33381211,INFORMATION-TECHNOLOGY,Software Engineering,C#
33381211,INFORMATION-TECHNOLOGY,Software Engineering,Microservices
33381211,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
33381211,INFORMATION-TECHNOLOGY,Software Engineering,SQL
16533554,INFORMATION-TECHNOLOGY,Software Engineering,Communication
16533554,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
20879311,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
